id,vine.maturity,env
W2x046-8,8,2020
W2x046-9,6,2020
W2x047-10,5,2020
W2x047-17,3,2020
W2x047-26,7,2020
W2x047-35,5,2020
W2x047-37,6,2020
W2x048-1,7,2020
W2x048-2,4.5,2020
W2x048-3,3,2020
W2x048-33,9,2020
W2x048-4,4,2020
W2x048-7,1.5,2020
W2x048-8,6,2020
W2x049-1,7,2020
W2x049-2,9,2020
W2x049-25,8,2020
W2x049-27,3,2020
W2x049-35,6,2020
W2x049-42,4,2020
W2x049-43,6.5,2020
W2x049-44,5,2020
W2x049-5,4,2020
W2x049-8,4,2020
W2x049-9,9,2020
W2x051-12,4,2020
W2x051-13,4,2020
W2x051-16,6,2020
W2x051-19,3,2020
W2x051-2,3,2020
W2x051-22,7,2020
W2x051-25,5,2020
W2x051-26,5,2020
W2x051-28,4.5,2020
W2x051-31,6,2020
W2x051-34,4.5,2020
W2x051-35,6,2020
W2x051-38,4,2020
W2x051-4,4,2020
W2x051-42,4,2020
W2x051-46,5,2020
W2x051-5,4,2020
W2x053-33,5,2020
W2x053-34,7,2020
W2x054-14,4,2020
W2x054-16,9,2020
W2x054-19,5,2020
W2x054-20,7,2020
W2x054-21,8,2020
W2x054-23,9,2020
W2x054-25,4,2020
W2x054-26,9,2020
W2x054-31,6,2020
W2x054-35,5,2020
W2x054-38,4,2020
W2x054-4,4,2020
W2x054-43,4.5,2020
W2x054-46,4,2020
W2x054-47,7,2020
W2x054-7,6,2020
