"id","vine.maturity","env"
"W15267-137R",1.793010957,2018
"W15267-138R",3.793010957,2018
"W15267-139R",6.905397241,2018
"W15267-13R",5.086715698,2018
"W15267-140R",9.086715698,2018
"W15267-142R",5.793010957,2018
"W15267-143R",9.214876104,2018
"W15267-145R",2.793010957,2018
"W15267-146R",9.214876104,2018
"W15267-147R",4.086715698,2018
"W15267-148R",5.086715698,2018
"W15267-149R",5.793010957,2018
"W15267-150R",5.214876104,2018
"W15267-153R",8.086715698,2018
"W15267-154R",2.793010957,2018
"W15267-157R",3.905397241,2018
"W15267-159R",4.793010957,2018
"W15267-160R",4.214876104,2018
"W15267-161R",5.214876104,2018
"W15267-162R",3.086715698,2018
"W15267-163R",3.793010957,2018
"W15267-164R",7.214876104,2018
"W15267-165R",2.214876104,2018
"W15267-16R",4.086715698,2018
"W15267-170R",7.905397241,2018
"W15267-171R",2.086715698,2018
"W15267-172R",5.793010957,2018
"W15267-173R",3.905397241,2018
"W15267-174R",8.793010957,2018
"W15267-176R",5.793010957,2018
"W15267-177R",3.086715698,2018
"W15267-17R",1.793010957,2018
"W15267-180R",4.650795901,2018
"W15267-182R",2.793010957,2018
"W15267-183R",5.793010957,2018
"W15267-186R",2.086715698,2018
"W15267-187R",9.214876104,2018
"W15267-189R",3.905397241,2018
"W15267-190R",5.905397241,2018
"W15267-192R",5.905397241,2018
"W15267-193R",8.086715698,2018
"W15267-195R",5.086715698,2018
"W15267-196R",3.086715698,2018
"W15267-197R",7.793010957,2018
"W15267-199R",8.905397241,2018
"W15267-19R",8.214876104,2018
"W15267-200R",4.214876104,2018
"W15267-201R",9.086715698,2018
"W15267-202R",7.793010957,2018
"W15267-203R",9.086715698,2018
"W15267-204R",8.214876104,2018
"W15267-205R",5.086715698,2018
"W15267-207R",3.905397241,2018
"W15267-209R",3.905397241,2018
"W15267-20R",5.905397241,2018
"W15267-212R",4.214876104,2018
"W15267-213R",2.905397241,2018
"W15267-214R",0.905397241,2018
"W15267-216R",4.086715698,2018
"W15267-217R",3.086715698,2018
"W15267-218R",4.793010957,2018
"W15267-219R",1.214876104,2018
"W15267-21R",9.086715698,2018
"W15267-220R",3.793010957,2018
"W15267-222R",4.905397241,2018
"W15267-223R",0.905397241,2018
"W15267-224R",5.793010957,2018
"W15267-226R",5.086715698,2018
"W15267-227R",4.905397241,2018
"W15267-22R",6.793010957,2018
"W15267-24R",6.086715698,2018
"W15267-26R",5.086715698,2018
"W15267-27R",7.793010957,2018
"W15267-2R",7.793010957,2018
"W15267-30R",8.905397241,2018
"W15267-31R",4.086715698,2018
"W15267-32R",8.214876104,2018
"W15267-34R",7.439863327,2018
"W15267-35R",4.793010957,2018
"W15267-37R",8.214876104,2018
"W15267-38R",3.086715698,2018
"W15267-3R",8.905397241,2018
"W15267-40R",2.905397241,2018
"W15267-41R",2.905397241,2018
"W15267-43R",9.086715698,2018
"W15267-45R",7.214876104,2018
"W15267-46R",8.214876104,2018
"W15267-48R",7.793010957,2018
"W15267-50R",6.905397241,2018
"W15267-51R",4.086715698,2018
"W15267-53R",7.214876104,2018
"W15267-55R",4.793010957,2018
"W15267-56R",3.086715698,2018
"W15267-57R",4.086715698,2018
"W15267-59R",3.793010957,2018
"W15267-60R",6.214876104,2018
"W15267-61R",6.793010957,2018
"W15267-62R",4.905397241,2018
"W15267-63R",3.793010957,2018
"W15267-64R",4.214876104,2018
"W15267-65R",5.905397241,2018
"W15267-66R",7.214876104,2018
"W15267-67R",3.086715698,2018
"W15267-6R",2.214876104,2018
"W15267-70R",3.793010957,2018
"W15267-71R",5.905397241,2018
"W15267-72R",4.214876104,2018
"W15267-73R",7.086715698,2018
"W15267-74R",4.086715698,2018
"W15267-75R",5.905397241,2018
"W15267-77R",4.086715698,2018
"W15267-79R",3.214876104,2018
"W15267-7R",1.214876104,2018
"W15267-80R",7.086715698,2018
"W15267-81R",3.086715698,2018
"W15267-82R",4.793010957,2018
"W15267-84R",7.086715698,2018
"W15267-85R",2.793010957,2018
"W15267-86R",9.214876104,2018
"W15267-87R",7.905397241,2018
"W15267-88R",4.793010957,2018
"W15267-89R",7.405397241,2018
"W15267-90R",0.793010957,2018
"W15267-92R",4.214876104,2018
"W15267-93R",5.214876104,2018
"W15267-95R",5.793010957,2018
"W15267-97R",3.214876104,2018
"W15267-98R",2.905397241,2018
"W15267-99R",4.214876104,2018
"W15268-101R",8.214876104,2018
"W15268-102R",9.214876104,2018
"W15268-103R",5.086715698,2018
"W15268-104R",3.793010957,2018
"W15268-106R",5.793010957,2018
"W15268-107R",5.086715698,2018
"W15268-108R",5.086715698,2018
"W15268-109R",6.214876104,2018
"W15268-110R",9.086715698,2018
"W15268-111R",5.086715698,2018
"W15268-112R",8.905397241,2018
"W15268-114R",4.793010957,2018
"W15268-115R",1.905397241,2018
"W15268-116R",8.905397241,2018
"W15268-117R",6.214876104,2018
"W15268-118R",8.086715698,2018
"W15268-119R",4.214876104,2018
"W15268-121R",3.905397241,2018
"W15268-122R",6.793010957,2018
"W15268-123R",4.086715698,2018
"W15268-124R",5.214876104,2018
"W15268-125R",7.793010957,2018
"W15268-127R",2.793010957,2018
"W15268-129R",6.086715698,2018
"W15268-12R",9.214876104,2018
"W15268-130R",9.214876104,2018
"W15268-132R",8.905397241,2018
"W15268-134R",0.793010957,2018
"W15268-136R",2.086715698,2018
"W15268-137R",8.793010957,2018
"W15268-138R",9.086715698,2018
"W15268-139R",4.793010957,2018
"W15268-13R",6.060136673,2018
"W15268-141R",5.793010957,2018
"W15268-142R",9.214876104,2018
"W15268-146R",6.905397241,2018
"W15268-147R",3.905397241,2018
"W15268-148R",6.793010957,2018
"W15268-151R",7.793010957,2018
"W15268-152R",5.793010957,2018
"W15268-153R",7.905397241,2018
"W15268-156R",3.793010957,2018
"W15268-158R",3.793010957,2018
"W15268-159R",8.793010957,2018
"W15268-161R",5.086715698,2018
"W15268-162R",6.086715698,2018
"W15268-164R",4.793010957,2018
"W15268-166R",8.086715698,2018
"W15268-16R",4.905397241,2018
"W15268-171R",7.214876104,2018
"W15268-173R",6.793010957,2018
"W15268-174R",8.905397241,2018
"W15268-175R",4.086715698,2018
"W15268-176R",8.214876104,2018
"W15268-179R",2.214876104,2018
"W15268-17R",5.086715698,2018
"W15268-180R",9.214876104,2018
"W15268-182R",5.214876104,2018
"W15268-183R",4.214876104,2018
"W15268-184R",6.214876104,2018
"W15268-185R",8.905397241,2018
"W15268-186R",2.214876104,2018
"W15268-187R",5.793010957,2018
"W15268-188R",4.905397241,2018
"W15268-189R",3.905397241,2018
"W15268-18R",8.214876104,2018
"W15268-190R",4.939863327,2018
"W15268-192R",8.905397241,2018
"W15268-193R",5.214876104,2018
"W15268-195R",8.905397241,2018
"W15268-196R",3.214876104,2018
"W15268-197R",7.905397241,2018
"W15268-198R",5.086715698,2018
"W15268-19R",9.214876104,2018
"W15268-200R",6.905397241,2018
"W15268-201R",3.905397241,2018
"W15268-203R",4.793010957,2018
"W15268-204R",5.905397241,2018
"W15268-205R",9.086715698,2018
"W15268-209R",9.086715698,2018
"W15268-20R",6.086715698,2018
"W15268-210R",4.214876104,2018
"W15268-212R",8.214876104,2018
"W15268-213R",7.086715698,2018
"W15268-214R",4.214876104,2018
"W15268-216R",3.793010957,2018
"W15268-218R",5.793010957,2018
"W15268-21R",5.086715698,2018
"W15268-220R",3.214876104,2018
"W15268-221R",5.086715698,2018
"W15268-224R",3.905397241,2018
"W15268-226R",7.086715698,2018
"W15268-228R",8.905397241,2018
"W15268-229R",6.905397241,2018
"W15268-231R",1.905397241,2018
"W15268-232R",9.214876104,2018
"W15268-235R",7.905397241,2018
"W15268-237R",2.214876104,2018
"W15268-24R",8.793010957,2018
"W15268-26R",8.905397241,2018
"W15268-27R",4.214876104,2018
"W15268-28R",4.905397241,2018
"W15268-29R",5.793010957,2018
"W15268-30R",5.086715698,2018
"W15268-31R",9.086715698,2018
"W15268-32R",5.086715698,2018
"W15268-33R",4.905397241,2018
"W15268-34R",4.086715698,2018
"W15268-36R",7.214876104,2018
"W15268-39R",2.793010957,2018
"W15268-41R",7.905397241,2018
"W15268-42R",1.905397241,2018
"W15268-47R",3.905397241,2018
"W15268-48R",4.214876104,2018
"W15268-49R",8.905397241,2018
"W15268-4R",7.905397241,2018
"W15268-51R",4.905397241,2018
"W15268-53R",0.793010957,2018
"W15268-551R",5.214876104,2018
"W15268-56R",5.905397241,2018
"W15268-57R",5.793010957,2018
"W15268-5R",7.905397241,2018
"W15268-61R",4.214876104,2018
"W15268-63R",9.214876104,2018
"W15268-65R",4.793010957,2018
"W15268-67R",4.086715698,2018
"W15268-68R",4.793010957,2018
"W15268-6R",7.503943531,2018
"W15268-73R",3.793010957,2018
"W15268-74R",1.905397241,2018
"W15268-76R",3.793010957,2018
"W15268-77R",4.905397241,2018
"W15268-78R",8.214876104,2018
"W15268-79R",6.214876104,2018
"W15268-7R",7.905397241,2018
"W15268-80R",4.793010957,2018
"W15268-82R",6.214876104,2018
"W15268-83R",5.086715698,2018
"W15268-85R",5.905397241,2018
"W15268-87R",5.086715698,2018
"W15268-88R",6.086715698,2018
"W15268-89R",1.905397241,2018
"W15268-8R",3.214876104,2018
"W15268-90R",4.214876104,2018
"W15268-91R",6.086715698,2018
"W15268-93R",9.214876104,2018
"W15268-95R",8.905397241,2018
"W15268-96R",2.905397241,2018
"W15268-97R",5.939863327,2018
"W15268-99R",3.793010957,2018
"W15268-9R",9.214876104,2018
"W15277-11R",8.905397241,2018
"W15277-12R",5.214876104,2018
"W15277-13R",7.793010957,2018
"W15277-14R",0.793010957,2018
"W15277-15R",4.793010957,2018
"W15277-19R",9.086715698,2018
"W15277-1R",7.793010957,2018
"W15277-20R",6.086715698,2018
"W15277-21R",3.086715698,2018
"W15277-24R",3.086715698,2018
"W15277-25R",2.793010957,2018
"W15277-26R",6.905397241,2018
"W15277-29R",6.905397241,2018
"W15277-2R",5.086715698,2018
"W15277-30R",6.086715698,2018
"W15277-31R",3.905397241,2018
"W15277-32R",4.214876104,2018
"W15277-34R",1.214876104,2018
"W15277-3R",7.150795901,2018
"W15277-4R",9.214876104,2018
"W15277-580R",7.214876104,2018
"W15277-7R",9.086715698,2018
"W15277-9R",1.214876104,2018
"W15277B-10R",7.086715698,2018
"W15277B-11R",0.905397241,2018
"W15277B-12R",2.793010957,2018
"W15277B-13R",7.905397241,2018
"W15277B-14R",7.905397241,2018
"W15277B-15R",7.793010957,2018
"W15277B-16R",2.086715698,2018
"W15277B-17R",3.086715698,2018
"W15277B-18R",5.086715698,2018
"W15277B-19R",2.086715698,2018
"W15277B-1R",5.086715698,2018
"W15277B-20R",4.905397241,2018
"W15277B-22R",7.905397241,2018
"W15277B-29R",7.905397241,2018
"W15277B-2R",3.086715698,2018
"W15277B-30R",8.086715698,2018
"W15277B-31R",1.214876104,2018
"W15277B-32R",6.086715698,2018
"W15277B-33R",5.905397241,2018
"W15277B-36R",4.086715698,2018
"W15277B-37R",5.086715698,2018
"W15277B-38R",3.793010957,2018
"W15277B-39R",8.905397241,2018
"W15277B-40R",3.905397241,2018
"W15277B-41R",5.793010957,2018
"W15277B-42R",7.214876104,2018
"W15277B-43R",7.905397241,2018
"W15277B-44R",2.793010957,2018
"W15277B-47R",4.214876104,2018
"W15277B-48R",3.905397241,2018
"W15277B-49R",2.214876104,2018
"W15277B-50R",8.214876104,2018
"W15277B-51R",4.905397241,2018
"W15277B-52R",5.214876104,2018
"W15277B-53R",3.086715698,2018
"W15277B-54R",7.905397241,2018
"W15277B-56R",4.905397241,2018
"W15277B-57R",3.793010957,2018
"W15277B-58R",5.214876104,2018
"W15277B-59R",4.086715698,2018
"W15277B-5R",6.214876104,2018
"W15277B-60R",1.905397241,2018
"W15277B-61R",2.905397241,2018
"W15277B-62R",7.793010957,2018
"W15277B-6R",4.793010957,2018
"W15277B-8R",5.793010957,2018
"W15277B-9R",6.086715698,2018
"W8893-1R",1.75,2018
"AFW6039-1R",5.999999712,2017
"AFW6039-2R",5.000000096,2017
"AFW6039-3R",7.999999712,2017
"AFW6039-4R",4.000000192,2017
"AFW6039-5R",3.000000192,2017
"AFW6039-7R",3.000000096,2017
"AFW6039-8R",2.999999712,2017
"AFW6041-11R",1.000000192,2017
"AFW6041-12R",5.999999712,2017
"AFW6041-2R",3.000000192,2017
"AFW6041-3R",4.000000096,2017
"AFW6041-4R",4.000000096,2017
"AFW6041-6R",4.999999712,2017
"AFW6041-7R",6.999999712,2017
"AFW6041-9R",7.000000192,2017
"AFW6045-10R",6.999999712,2017
"AFW6045-11R",5.999999712,2017
"AFW6045-12R",4.999999712,2017
"AFW6045-1R",1.999999712,2017
"AFW6045-2R",4.000000192,2017
"AFW6045-5R",2.000000096,2017
"AFW6045-8R",2.000000096,2017
"AFW6045-9R",5.000000096,2017
"AFW6050-18R",2.000000096,2017
"AFW6050-20R",2.000000096,2017
"AFW6050-23R",4.000000096,2017
"AFW6050-24R",8.000000192,2017
"AFW6050-26R",4.000000096,2017
"AFW6050-2R",5.000000096,2017
"AFW6050-4R",5.000000192,2017
"AFW6050-7R",6.000000192,2017
"AFW6051-1R",5.000000192,2017
"AFW6051-2R",8.000000096,2017
"AFW6051-4R",5.999999712,2017
"AFW6052-10R",3.999999712,2017
"AFW6052-12R",5.000000096,2017
"AFW6052-13R",2.000000192,2017
"AFW6052-14R",4.999999712,2017
"AFW6052-22R",2.000000192,2017
"AFW6052-23R",3.000000192,2017
"AFW6052-25R",5.000000192,2017
"AFW6052-28R",2.999999712,2017
"AFW6052-29R",2.000000192,2017
"AFW6052-31R",3.500000096,2017
"AFW6052-33R",2.999999712,2017
"AFW6052-34R",1.999999712,2017
"AFW6052-35R",5.999999712,2017
"AFW6052-38R",3.000000192,2017
"AFW6052-39R",4.000000192,2017
"AFW6052-3R",5.000000096,2017
"AFW6052-40R",5.000000096,2017
"AFW6052-42R",5.999999712,2017
"AFW6052-4R",3.000000096,2017
"AFW6052-9R",0.999999712,2017
"AFW6054-10R",5.000000096,2017
"AFW6054-4R",4.999999712,2017
"AFW6054-7R",6.000000192,2017
"AFW6054-8R",1.000000192,2017
"DarkRedNorland",2,2017
"RedEndeavor",4.333333333,2017
"RedLaSoda10",3.333333333,2017
"RedNorland",1.333333333,2017
"RedPrairie",5.666666667,2017
"W10209-2R",2.666666667,2017
"W10209-7R",6.666666667,2017
"W14133-11R",6.000000192,2017
"W14133-12R",6.000000096,2017
"W14133-14R",6.000000192,2017
"W14133-16R",4.999999712,2017
"W14133-17R",5.999999712,2017
"W14133-20R",3.999999712,2017
"W14133-21R",4.000000192,2017
"W14133-22R",4.999999712,2017
"W14133-23R",4.000000192,2017
"W14133-27R",7.000000192,2017
"W14133-28R",3.000000096,2017
"W14133-29R",1.999999712,2017
"W14133-32R",3.999999712,2017
"W14133-35R",6.999999712,2017
"W14133-36R",5.000000096,2017
"W14133-37R",5.000000192,2017
"W14133-38R",3.999999712,2017
"W14133-41R",2.000000192,2017
"W14133-44R",5.000000096,2017
"W14133-45R",7.000000192,2017
"W14133-46R",6.999999712,2017
"W14133-47R",5.000000096,2017
"W14133-49R",4.000000096,2017
"W14133-4R",5.000000096,2017
"W14133-5R",3.000000192,2017
"W14133-9R",4.000000096,2017
"W14138-12R",5.000000096,2017
"W14138-13R",4.000000192,2017
"W14138-14R",4.000000096,2017
"W14138-15R",4.000000192,2017
"W14138-17R",6.000000096,2017
"W14138-1R",5.999999712,2017
"W14138-22R",9.000000096,2017
"W14138-25R",2.000000192,2017
"W14138-33R",2.000000192,2017
"W14138-34R",7.000000192,2017
"W14138-36R",2.000000192,2017
"W14138-37R",3.000000192,2017
"W14138-38R",5.000000096,2017
"W14138-44R",4.000000192,2017
"W14138-47R",2.999999712,2017
"W14138-48R",5.000000192,2017
"W14138-49R",4.999999712,2017
"W14138-50R",4.000000096,2017
"W14138-53R",4.000000192,2017
"W14138-54R",8.000000096,2017
"W14138-55R",4.999999712,2017
"W14138-56R",4.999999712,2017
"W14138-57R",3.000000192,2017
"W14138-58R",5.000000096,2017
"W14138-59R",2.000000192,2017
"W14138-5R",3.999999712,2017
"W14138-6R",3.000000192,2017
"W14138-8R",5.000000096,2017
"W14141-11R",3.999999712,2017
"W14141-14R",5.000000192,2017
"W14141-15R",6.000000096,2017
"W14141-16R",4.999999712,2017
"W14141-17R",1.000000096,2017
"W14141-19R",0.999999712,2017
"W14141-1R",7.000000096,2017
"W14141-20R",2.999999712,2017
"W14141-2R",5.999999712,2017
"W14141-3R",6.000000192,2017
